Company Name,Position Applied,Date,Resume Link,JobPost URL,Contact
eTeam,Java Full Stack Engineer,11/29/2025,https://docs.google.com/document/d/1Fc5QNfQF7OucHcNC6ufpjjuRSWnouirT5zo2OpQxorU/edit,,
Photon,Java Backend Developer,11/29/2025,https://docs.google.com/document/d/1ijHTQx0Xl4v8Gk3opGYbdDGzAFO4HA8CNbwpd6yzLOA/edit,,
PlayStation Global,Full Stack Software Engineer,12/01/2025,https://docs.google.com/document/d/1ulCzc7J_2Z9V3o-_Ms0VQv4I-mRSAYh1z8YB4o4b1tQ/edit,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5654579004?gh_src=sgp49gfz4us,
CNH,Senior Software Engineer,12/01/2025,https://docs.google.com/document/d/18YIV6_cbNKkwgADAlCtiXsOnnJ2YgK69UYA7Xw04L8E/edit,https://join.cnh.com/job/Senior-Software-Engineer/2689-en_US,
Costco,Software Engineer - Digital Site Development,12/01/2025,https://docs.google.com/document/d/1YM9C3EJiz8vkjeBnJnS8rkOXxypg5wOMJuDIxXf3CbI/edit,https://phf.tbe.taleo.net/phf02/ats/careers/v2/viewRequisition?org=COSTCO&cws=41&rid=10312,
Comcast,Java Full Stack Developer,12/01/2025,https://docs.google.com/document/d/11dPLx3LJcOxO2bJqxH_ka5snBAvPhWT2YDCQxV0Ka3U/edit,https://mail.google.com/mail/u/2/#inbox/FMfcgzQdzcnFjMnQLJsmmbJrCncSXNGZ,
Uber,Software Engineer II (Operations Research),12/01/2025,https://docs.google.com/document/d/1RudLnnTZwx_550tKVhz_-YC0kpprKIHJeps_dM35I10/edit,https://www.uber.com/global/en/careers/list/151141/?iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=&jClickId=160c1b31-bc4e-4aa9-9b9f-70be92017ad9,
Veeva Systems,Software Engineer,12/01/2025,https://docs.google.com/document/d/1vrPpsY87XO4zyO1a2SYQhJIE_rFCkqxZiOpCRZ_56yk/edit,https://careers.veeva.com/job/4d5dd1de-44d2-41ff-a8f2-1113a8e310ff/software-engineer-java-boston-ma/?lever-source=,
General Motors,Software Engineer,12/01/2025,https://docs.google.com/document/d/1H4mHgqT96VIdS-BV1eVMdfhEJWoK55hbKdUb5ScxPDY/edit,https://generalmotors.wd5.myworkdayjobs.com/en-GB/Careers_GM/job/Mountain-View-California-United-States-of-America/Software-Engineer---Early-Career_JR-202517310?source=,
CVS Health,Senior Software Development Engineer,12/01/2025,https://docs.google.com/document/d/1x8895bcN4654Pm2Rq2f1lQFXWeuDodeqpw_DteBtPMk/edit,https://jobs.cvshealth.com/us/en/job/CVSCHLUSR0758176EXTERNALENUS/Senior-Software-Development-Engineer-MyPBM?utm_source=&utm_medium=phenom-feeds,
Cognizant,Java Full-Stack Developer,12/01/2025,https://docs.google.com/document/d/1VKGFi5shR-LO4XYpZcrZijC15FF6tE-LN0v2Bg8VKhg/edit,https://careers.cognizant.com/global-en/jobs/00066443051/java-full-stack-developer/?source=JB-11500,
Gong.io,Backend Engineer,12/01/2025,https://docs.google.com/document/d/1wQlDEcKYiIjFTcViVchb5FWLMdFoEqi-jnh8A4F-GMs/edit,https://job-boards.greenhouse.io/gongio/jobs/4580076006?gh_src=fd070d216us,
"Intercontinental Exchange Holdings, Inc.",Senior Full Stack Developer,12/01/2025,https://docs.google.com/document/d/1vuk8lpv9JQaFQ765OLNPz-m0aMdkaDt07k6x36ufw6w/edit,https://careers.ice.com/jobs/11184?lang=en-us&iis,
Fidelity,Full Stack Engineer,12/02/2025,https://docs.google.com/document/d/1lDUmn7TZwOyymr-AZFLygxhZOjlBPf24TYfUnAE2Ehw/edit,https://www.fidelitytalentsource.com/job-search/179591/full-stack-engineer/?job-id=179591,
"Verdegard Administrators, LLC.",Software Engineer II,12/02/2025,https://docs.google.com/document/d/1lwv9b3GfBs27T4j9qCvXGglA41UuwiylOZp-ENxDNeo/edit,https://medimpact.wd5.myworkdayjobs.com/MedImpact/job/Tempe-AZ/Software-Engineer-II_JR102189?source=,
Baseball Enterprise,Software Engineer,12/02/2025,https://docs.google.com/document/d/1-zXuA9hNMbTZuqq3HHoU9mNmp4RA1MKBCDEqDbiZIXg/edit,https://www.mlb.com/careers/opportunities?gh_jid=7402793,
CME Group,Software Engineer III,12/02/2025,https://docs.google.com/document/d/1iPMKkb5wVZFvGxCy2nTxMwgjDvHVY2w8NY81kyvh6fs/edit,https://cmegroup.wd1.myworkdayjobs.com/cme_careers/job/Chicago---20-S-Wacker/Software-Engineer-III_33222-1?source,
Nasdaq,"Software Engineer, Sr Specialist",12/03/2025,https://docs.google.com/document/d/15T-xasjAc0cXVxdL0ITef-13QbuOmykUbQ_RF9zcDes/edit,https://nasdaq.wd1.myworkdayjobs.com/Global_External_Site/job/USA---Philadelphia---Pennsylvania/Software-Engineer--Sr-Specialist_R0024282,
Attentive,"Software Engineer I, Onsite Customer Growth",12/03/2025,https://docs.google.com/document/d/1EGraIPWZRyoLasgLbJHssE1Zum71ldpG9lKg-5fGpEY/edit,https://jobs.lever.co/attentive/4993e826-06df-48bc-b9c7-79ff70d4c21d,
